review_set,reviewer,plan_author,plan_id,plan_slug,filename,relative_path,rating,max_rating
claude-code-review-of-claude-code-plans,claude-code,claude-code,001,contracts-src-api,001-contracts-src-api.md,claude-code-review-of-claude-code-plans/001-contracts-src-api.md,8,10
claude-code-review-of-claude-code-plans,claude-code,claude-code,002,contracts-src-runtime,002-contracts-src-runtime.md,claude-code-review-of-claude-code-plans/002-contracts-src-runtime.md,9,10
claude-code-review-of-claude-code-plans,claude-code,claude-code,003,contracts-src-security,003-contracts-src-security.md,claude-code-review-of-claude-code-plans/003-contracts-src-security.md,8,10
claude-code-review-of-claude-code-plans,claude-code,claude-code,004,contracts-runtime-services-src,004-contracts-runtime-services-src.md,claude-code-review-of-claude-code-plans/004-contracts-runtime-services-src.md,8,10
claude-code-review-of-claude-code-plans,claude-code,claude-code,005,types-api-src,005-types-api-src.md,claude-code-review-of-claude-code-plans/005-types-api-src.md,8,10
claude-code-review-of-claude-code-plans,claude-code,claude-code,006,types-app-platform-src,006-types-app-platform-src.md,claude-code-review-of-claude-code-plans/006-types-app-platform-src.md,9,10
claude-code-review-of-claude-code-plans,claude-code,claude-code,007,types-bridges-src,007-types-bridges-src.md,claude-code-review-of-claude-code-plans/007-types-bridges-src.md,8,10
claude-code-review-of-claude-code-plans,claude-code,claude-code,008,types-data-src,008-types-data-src.md,claude-code-review-of-claude-code-plans/008-types-data-src.md,8,10
claude-code-review-of-claude-code-plans,claude-code,claude-code,009,kernel-src-api,009-kernel-src-api.md,claude-code-review-of-claude-code-plans/009-kernel-src-api.md,8,10
claude-code-review-of-claude-code-plans,claude-code,claude-code,010,kernel-src-document,010-kernel-src-document.md,claude-code-review-of-claude-code-plans/010-kernel-src-document.md,9,10
claude-code-review-of-claude-code-plans,claude-code,claude-code,011,kernel-src-document-collab,011-kernel-src-document-collab.md,claude-code-review-of-claude-code-plans/011-kernel-src-document-collab.md,8,10
claude-code-review-of-claude-code-plans,claude-code,claude-code,012,kernel-src-bridges-compute,012-kernel-src-bridges-compute.md,claude-code-review-of-claude-code-plans/012-kernel-src-bridges-compute.md,8,10
claude-code-review-of-claude-code-plans,claude-code,claude-code,013,kernel-src-domain-cells,013-kernel-src-domain-cells.md,claude-code-review-of-claude-code-plans/013-kernel-src-domain-cells.md,9,10
claude-code-review-of-claude-code-plans,claude-code,claude-code,014,kernel-src-domain-formulas,014-kernel-src-domain-formulas.md,claude-code-review-of-claude-code-plans/014-kernel-src-domain-formulas.md,8,10
claude-code-review-of-claude-code-plans,claude-code,claude-code,015,kernel-src-domain-charts,015-kernel-src-domain-charts.md,claude-code-review-of-claude-code-plans/015-kernel-src-domain-charts.md,8,10
claude-code-review-of-claude-code-plans,claude-code,claude-code,016,kernel-src-domain-formatting,016-kernel-src-domain-formatting.md,claude-code-review-of-claude-code-plans/016-kernel-src-domain-formatting.md,8,10
claude-code-review-of-claude-code-plans,claude-code,claude-code,017,kernel-src-domain-pivots,017-kernel-src-domain-pivots.md,claude-code-review-of-claude-code-plans/017-kernel-src-domain-pivots.md,8,10
claude-code-review-of-claude-code-plans,claude-code,claude-code,018,kernel-src-domain-tables,018-kernel-src-domain-tables.md,claude-code-review-of-claude-code-plans/018-kernel-src-domain-tables.md,9,10
claude-code-review-of-claude-code-plans,claude-code,claude-code,019,kernel-src-floating-objects,019-kernel-src-floating-objects.md,claude-code-review-of-claude-code-plans/019-kernel-src-floating-objects.md,8,10
claude-code-review-of-claude-code-plans,claude-code,claude-code,020,kernel-src-services-undo,020-kernel-src-services-undo.md,claude-code-review-of-claude-code-plans/020-kernel-src-services-undo.md,8,10
claude-code-review-of-claude-code-plans,claude-code,claude-code,021,kernel-src-services-clipboard,021-kernel-src-services-clipboard.md,claude-code-review-of-claude-code-plans/021-kernel-src-services-clipboard.md,8,10
claude-code-review-of-claude-code-plans,claude-code,claude-code,022,kernel-src-security,022-kernel-src-security.md,claude-code-review-of-claude-code-plans/022-kernel-src-security.md,8,10
claude-code-review-of-claude-code-plans,claude-code,claude-code,023,compute-api-src,023-compute-api-src.md,claude-code-review-of-claude-code-plans/023-compute-api-src.md,8,10
claude-code-review-of-claude-code-plans,claude-code,claude-code,024,compute-core-src-eval,024-compute-core-src-eval.md,claude-code-review-of-claude-code-plans/024-compute-core-src-eval.md,8,10
claude-code-review-of-claude-code-plans,claude-code,claude-code,025,compute-core-src-scheduler,025-compute-core-src-scheduler.md,claude-code-review-of-claude-code-plans/025-compute-core-src-scheduler.md,9,10
claude-code-review-of-claude-code-plans,claude-code,claude-code,026,compute-core-src-storage,026-compute-core-src-storage.md,claude-code-review-of-claude-code-plans/026-compute-core-src-storage.md,8,10
claude-code-review-of-claude-code-plans,claude-code,claude-code,027,compute-core-src-import,027-compute-core-src-import.md,claude-code-review-of-claude-code-plans/027-compute-core-src-import.md,9,10
claude-code-review-of-claude-code-plans,claude-code,claude-code,028,compute-core-src-identity,028-compute-core-src-identity.md,claude-code-review-of-claude-code-plans/028-compute-core-src-identity.md,8,10
claude-code-review-of-claude-code-plans,claude-code,claude-code,029,compute-core-crates-compute-functions-src,029-compute-core-crates-compute-functions-src.md,claude-code-review-of-claude-code-plans/029-compute-core-crates-compute-functions-src.md,8,10
claude-code-review-of-claude-code-plans,claude-code,claude-code,030,compute-core-crates-compute-parser-src,030-compute-core-crates-compute-parser-src.md,claude-code-review-of-claude-code-plans/030-compute-core-crates-compute-parser-src.md,8,10
claude-code-review-of-claude-code-plans,claude-code,claude-code,031,compute-core-crates-compute-graph-src,031-compute-core-crates-compute-graph-src.md,claude-code-review-of-claude-code-plans/031-compute-core-crates-compute-graph-src.md,9,10
claude-code-review-of-claude-code-plans,claude-code,claude-code,032,compute-core-crates-compute-table-src,032-compute-core-crates-compute-table-src.md,claude-code-review-of-claude-code-plans/032-compute-core-crates-compute-table-src.md,8,10
claude-code-review-of-claude-code-plans,claude-code,claude-code,033,compute-core-crates-compute-pivot-src,033-compute-core-crates-compute-pivot-src.md,claude-code-review-of-claude-code-plans/033-compute-core-crates-compute-pivot-src.md,9,10
claude-code-review-of-claude-code-plans,claude-code,claude-code,034,compute-core-crates-compute-fill-src,034-compute-core-crates-compute-fill-src.md,claude-code-review-of-claude-code-plans/034-compute-core-crates-compute-fill-src.md,9,10
claude-code-review-of-claude-code-plans,claude-code,claude-code,035,compute-core-crates-compute-formats-src,035-compute-core-crates-compute-formats-src.md,claude-code-review-of-claude-code-plans/035-compute-core-crates-compute-formats-src.md,9,10
claude-code-review-of-claude-code-plans,claude-code,claude-code,036,compute-core-crates-compute-cf-src,036-compute-core-crates-compute-cf-src.md,claude-code-review-of-claude-code-plans/036-compute-core-crates-compute-cf-src.md,8,10
claude-code-review-of-claude-code-plans,claude-code,claude-code,037,compute-core-crates-compute-wire-src,037-compute-core-crates-compute-wire-src.md,claude-code-review-of-claude-code-plans/037-compute-core-crates-compute-wire-src.md,8,10
claude-code-review-of-claude-code-plans,claude-code,claude-code,038,compute-core-crates-compute-security-src,038-compute-core-crates-compute-security-src.md,claude-code-review-of-claude-code-plans/038-compute-core-crates-compute-security-src.md,8,10
claude-code-review-of-claude-code-plans,claude-code,claude-code,039,compute-wasm-src,039-compute-wasm-src.md,claude-code-review-of-claude-code-plans/039-compute-wasm-src.md,9,10
claude-code-review-of-claude-code-plans,claude-code,claude-code,040,compute-napi-src,040-compute-napi-src.md,claude-code-review-of-claude-code-plans/040-compute-napi-src.md,9,10
claude-code-review-of-claude-code-plans,claude-code,claude-code,041,canvas-grid-renderer-src,041-canvas-grid-renderer-src.md,claude-code-review-of-claude-code-plans/041-canvas-grid-renderer-src.md,8,10
claude-code-review-of-claude-code-plans,claude-code,claude-code,042,canvas-grid-canvas-src,042-canvas-grid-canvas-src.md,claude-code-review-of-claude-code-plans/042-canvas-grid-canvas-src.md,9,10
claude-code-review-of-claude-code-plans,claude-code,claude-code,043,canvas-engine-src,043-canvas-engine-src.md,claude-code-review-of-claude-code-plans/043-canvas-engine-src.md,8,10
claude-code-review-of-claude-code-plans,claude-code,claude-code,044,canvas-overlay-src,044-canvas-overlay-src.md,claude-code-review-of-claude-code-plans/044-canvas-overlay-src.md,9,10
claude-code-review-of-claude-code-plans,claude-code,claude-code,045,canvas-spatial-src,045-canvas-spatial-src.md,claude-code-review-of-claude-code-plans/045-canvas-spatial-src.md,9,10
claude-code-review-of-claude-code-plans,claude-code,claude-code,046,canvas-drawing-canvas-src,046-canvas-drawing-canvas-src.md,claude-code-review-of-claude-code-plans/046-canvas-drawing-canvas-src.md,9,10
claude-code-review-of-claude-code-plans,claude-code,claude-code,047,canvas-drawing-engine-src,047-canvas-drawing-engine-src.md,claude-code-review-of-claude-code-plans/047-canvas-drawing-engine-src.md,9,10
claude-code-review-of-claude-code-plans,claude-code,claude-code,048,canvas-drawing-shapes-src,048-canvas-drawing-shapes-src.md,claude-code-review-of-claude-code-plans/048-canvas-drawing-shapes-src.md,8,10
claude-code-review-of-claude-code-plans,claude-code,claude-code,049,canvas-drawing-geometry-src,049-canvas-drawing-geometry-src.md,claude-code-review-of-claude-code-plans/049-canvas-drawing-geometry-src.md,9,10
claude-code-review-of-claude-code-plans,claude-code,claude-code,050,charts-src-core,050-charts-src-core.md,claude-code-review-of-claude-code-plans/050-charts-src-core.md,8,10
